,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
1,0,6.855066,4.774498,7.71257,5.282504,5.398881,9.319542,7.414957,6.698931,3.417994,0.8896199,1.404052,8.958013,3.397439,7.303038,0.9580122,1.652427,1.860413,9.65041,8.789829,9.143146,8.426168,4.10819,4.897548,6.352702,1.681809,8.950565,9.209824,7.245286,3.365719,3.608999,8.950654,4.9852,4.859531,9.341967,4.360259,9.354738,2.137185,9.438191,9.270905,6.131672,2.327131,2.160554,8.208772,6.706536,8.2284,3.422659,2.987813,6.898249,2.281839,5.549614,3.205716,5.131701,3.149932,8.350965,5.421114,8.489467,3.608268,0.7737111,8.239416,8.090058,5.439481,7.188747,3.612804,6.739191,3.840664,0.5879855,7.63382,4.899178,7.876328,7.908424,4.03922,3.900348,6.523738,7.817679,1.233529,4.555699,3.885951,9.7557,5.378173,9.496357,6.179744,2.922487,2.092705,2.991316,9.542434,4.488038,8.231968,2.403713,1.261756,6.790852,10.6579,6.296598,4.156452,8.01475,10.46963,6.566082,4.451153,6.945235,5.498079,
2,6.855066,0,2.554627,1.326395,8.11939,6.494884,2.464487,1.708438,1.33877,3.511316,6.955779,5.99893,2.103676,5.411444,1.94853,6.600945,7.28193,7.180142,3.211155,2.864334,2.955735,1.801868,7.390466,6.682287,2.016992,6.086266,2.217802,2.516549,0.7876848,4.436398,3.738925,2.563215,3.61217,4.200884,3.364407,4.605079,2.999118,7.611651,2.600274,4.373465,1.423509,4.758487,4.772999,3.995911,4.617182,1.379937,3.972249,5.480347,3.119442,4.824474,1.333865,6.055476,8.303555,6.990413,3.676561,6.2001,3.643427,3.442398,7.454233,3.527061,2.248925,4.462911,2.999393,6.562581,3.977921,3.950096,6.317162,1.122253,2.735678,3.700476,1.368874,2.997071,3.062404,2.69756,2.796551,6.684803,4.434408,4.217919,2.94967,7.236767,4.229043,3.744927,4.398651,7.690679,4.294216,3.269579,7.321807,3.616102,5.320756,8.046207,2.292309,4.150535,5.374125,6.217492,3.455184,4.299304,3.964329,3.64413,0.1084318,8.30863,
3,4.774498,2.554627,0,3.027672,7.584286,6.391931,4.864789,2.647729,1.957448,1.42903,4.670209,4.310126,4.531094,2.857041,2.529096,4.797153,4.872339,5.61768,5.75566,4.016229,4.371276,3.763495,6.58701,6.333697,3.414424,4.523056,4.764202,4.542486,3.23514,3.553894,2.84208,5.088733,3.78252,1.878661,5.808338,2.137993,4.593668,5.151576,5.068862,4.691456,1.409672,2.473963,2.616412,3.764093,5.545033,3.770523,3.001098,4.469987,4.554855,2.529925,1.351233,3.501297,7.664813,5.907044,5.650462,6.171201,5.687261,1.172567,5.245085,3.634633,4.57527,4.787505,2.606807,5.722548,2.722697,3.321151,4.324203,3.626441,0.3685673,3.403805,3.251357,0.7878941,0.9825473,4.031482,3.104794,4.96883,4.280088,3.656789,5.154209,6.955242,4.831908,2.204309,1.97516,6.111537,3.077932,4.77197,6.676497,3.654364,2.856156,5.844473,2.06418,6.704861,5.920009,5.651761,5.349988,6.813892,4.990869,1.155381,2.662616,7.805295,
4,7.71257,1.326395,3.027672,0,9.413668,7.8148,1.998309,0.7260358,1.093947,4.294838,7.683767,7.015563,1.740244,5.724777,1.054307,7.583238,7.899035,8.255447,3.460661,1.53942,1.648623,0.7375646,8.644813,7.986684,3.321537,7.146559,2.287543,1.515078,1.823992,5.630411,4.903734,2.982124,4.926319,4.216301,3.921622,4.732869,1.740844,8.166409,2.288174,3.127803,1.617999,5.471859,5.562886,2.948217,5.91048,1.09506,5.131151,6.673021,4.365748,5.531917,2.2502,6.383091,9.586935,8.189389,4.686446,7.522206,4.611653,4.132397,8.238663,2.40769,3.102321,5.788994,2.204542,7.803132,3.390636,5.175858,7.213725,1.922871,3.050887,2.716012,0.2528717,3.686658,3.813302,3.981585,1.718375,7.70159,5.735153,5.463162,2.140965,8.549167,2.933589,3.347676,5.002007,8.765848,5.407721,1.990974,8.598388,2.511272,5.878716,8.838162,1.702767,4.215171,6.693208,7.495059,4.521559,4.615788,5.256578,3.88337,1.326704,9.607016,
5,5.282504,8.11939,7.584286,9.413668,0,1.875745,10.12272,9.534982,8.825791,6.361242,6.169981,4.214841,9.785798,8.023315,9.610336,4.350693,6.934621,3.462001,9.438102,10.9054,11.06186,9.908986,1.189575,1.464296,6.38858,3.851872,9.36277,10.56019,7.974634,4.031666,4.761158,8.883076,4.527344,8.796319,8.717092,8.538617,11.11848,7.412794,10.04852,12.09375,8.34995,6.266206,5.904021,11.29818,4.597935,9.294729,4.585795,3.175502,5.953374,6.282319,7.350447,8.118024,0.3560075,2.148118,7.063852,2.191017,7.263762,6.705899,5.883297,11.06435,7.86564,3.87395,10.11402,1.937878,10.27298,4.341503,5.015156,8.205175,7.909681,10.93713,9.486652,6.874167,6.664877,5.981996,10.40989,4.05767,3.68585,4.018328,10.81814,1.072852,12.10737,9.719451,6.793303,3.450849,4.536083,11.38798,0.9252032,11.10915,6.945208,5.980347,9.444759,10.30413,3.602484,1.951916,6.831348,9.718968,5.01506,8.063626,8.149579,0.2309482,
6,5.398881,6.494884,6.391931,7.8148,1.875745,0,8.351896,8.021468,7.350487,5.379467,6.219413,4.059625,8.025809,7.449164,8.137341,4.452258,6.982615,3.895362,7.581034,9.338869,9.450269,8.249829,1.949909,0.628473,4.644548,3.732013,7.560459,8.859482,6.259454,2.976908,3.584609,7.042902,2.893057,7.868822,6.846611,7.724995,9.475624,7.485545,8.255411,10.65723,6.927514,5.643661,5.291137,9.959441,2.723734,7.584144,3.477066,2.550439,4.103666,5.67879,5.903125,7.691003,2.181728,2.543532,5.188167,0.3206011,5.388027,5.716318,6.125577,9.661444,6.030434,2.081389,8.777594,1.871634,9.114079,3.077628,4.962062,6.455715,6.745749,9.603732,7.860426,5.775704,5.575163,4.175059,8.971995,4.214109,2.15219,2.744504,9.067958,0.8161959,10.6178,8.591423,6.054507,4.124237,3.595451,9.75357,1.547979,9.718536,6.445511,6.395474,8.068048,8.434705,1.74003,1.243418,4.956663,7.843327,3.147438,7.080642,6.511598,1.994822,
7,9.319542,2.464487,4.864789,1.998309,10.12272,8.351896,0,2.682999,3.048601,5.961413,9.406157,8.435991,0.3658587,7.66001,2.998179,9.047615,9.700762,9.580184,1.863466,2.527226,2.197344,1.368722,9.543834,8.658652,3.735977,8.502142,0.9159452,1.049522,2.219648,6.7543,6.104715,1.75177,5.632713,6.206545,2.633523,6.709245,1.941278,10.00642,0.359034,4.259521,3.496589,7.198552,7.229781,4.529866,5.975418,1.103607,6.339054,7.781383,4.363069,7.263225,3.783998,8.317104,10.35123,9.261775,4.026124,8.036317,3.878492,5.86616,9.914813,3.941369,2.505756,6.272731,4.083087,8.761672,5.312101,6.232601,8.780257,1.92734,4.953901,4.398403,1.745469,5.415502,5.500832,4.185172,3.417059,9.118759,6.495314,6.45664,0.7690577,9.147618,3.863642,5.325716,6.798759,10.08804,6.69325,2.191542,9.409141,4.055235,7.707597,10.50809,3.683979,2.348385,6.920766,8.321482,4.005572,2.939428,5.363728,5.825465,2.375135,10.28866,
8,7.414957,1.708438,2.647729,0.7260358,9.534982,8.021468,2.682999,0,0.7472996,4.016375,7.310321,6.836393,2.449536,5.184131,0.3282813,7.37188,7.465998,8.111952,4.186014,1.424268,1.730156,1.337114,8.696422,8.139518,3.710586,7.000919,3.013524,2.031049,2.370571,5.632452,4.888497,3.695588,5.132648,3.597755,4.627161,4.141047,1.946614,7.701468,2.990145,2.684733,1.307952,5.121632,5.254411,2.315416,6.309816,1.820799,5.105238,6.659734,4.827876,5.177223,2.20135,5.839569,9.684415,8.169754,5.291027,7.74173,5.231258,3.806734,7.892002,1.821606,3.743001,6.053712,1.482325,7.839827,2.665534,5.222752,6.946619,2.545106,2.593625,2.049282,0.9632439,3.380141,3.535308,4.40035,1.094276,7.515177,5.895682,5.530886,2.712713,8.723042,2.597161,2.64291,4.604209,8.618319,5.333547,2.127729,8.687574,1.913943,5.441196,8.491133,1.002182,4.936191,7.026043,7.592832,5.101392,5.341074,5.659238,3.353992,1.751066,9.73722,
9,6.698931,1.33877,1.957448,1.093947,8.825791,7.350487,3.048601,0.7472996,0,3.288969,6.626999,6.092924,2.753634,4.633241,0.7877408,6.633421,6.818806,7.365793,4.298382,2.171529,2.464548,1.829708,7.968001,7.44435,3.206377,6.254616,3.170597,2.597564,2.110424,4.897544,4.151877,3.72281,4.475081,3.165426,4.600711,3.660645,2.657181,7.07804,3.307252,3.308552,0.5691031,4.424043,4.539621,2.742984,5.776589,2.022958,4.366246,5.920523,4.372148,4.481855,1.476348,5.291588,8.967384,7.428363,5.014876,7.07801,4.981915,3.095173,7.196042,2.345006,3.564557,5.423086,1.675064,7.108889,2.651344,4.499724,6.220576,2.386636,1.958746,2.421679,1.335202,2.659718,2.806302,3.908486,1.630511,6.77295,5.210982,4.812896,3.234826,8.035365,3.282522,2.468157,3.931069,7.872538,4.588243,2.856652,7.969266,2.417258,4.795521,7.795774,0.9540749,5.145034,6.435033,6.878939,4.788903,5.437528,5.13489,2.79214,1.419123,9.030845,
10,3.417994,3.511316,1.42903,4.294838,6.361242,5.379467,5.961413,4.016375,3.288969,0,3.445422,2.881722,5.606386,2.475204,3.93121,3.37289,3.793267,4.191306,6.533653,5.414901,5.746418,5.011186,5.30072,5.219651,3.585178,3.102627,5.690488,5.795494,4.016839,2.412187,1.82855,5.835809,3.179996,2.489939,6.401346,2.384067,5.946045,4.157549,6.111521,6.110096,2.720119,1.25423,1.274254,5.148847,5.114923,4.859915,1.904476,3.191841,4.528959,1.32182,2.179276,2.989429,6.406199,4.557029,5.846438,5.203657,5.930302,0.3450468,3.962057,5.053992,5.121303,4.111778,4.015426,4.449333,3.939591,2.356527,2.931641,4.419379,1.659346,4.792271,4.493088,0.6451454,0.4830933,4.032258,4.533742,3.540132,3.415847,2.668462,6.355798,5.843962,6.260297,3.37491,1.053883,4.683357,1.834106,6.142418,5.439139,5.068886,1.941556,4.559206,3.493158,7.527912,5.251857,4.481679,5.516357,7.487864,4.674787,1.714212,3.609321,6.588077,
